origem,destino,tipo_conexao,justificativa,peso,frequencia_estimada,fonte
AAX,PLU,regional,rota regular em base publica (1 registro(s) OpenFlights),316.7,1,OpenFlights routes + OurAirports airports
AAX,POJ,regional,rota regular em base publica (1 registro(s) OpenFlights),110.6,1,OpenFlights routes + OurAirports airports
AFL,CGB,hub,rota regular em base publica (2 registro(s) OpenFlights),643.4,2,OpenFlights routes + OurAirports airports
AJU,BSB,hub,rota regular em base publica (2 registro(s) OpenFlights),1292.5,2,OpenFlights routes + OurAirports airports
AJU,GIG,hub,rota regular em base publica (2 registro(s) OpenFlights),1469.4,2,OpenFlights routes + OurAirports airports
AJU,GRU,hub,rota regular em base publica (4 registro(s) OpenFlights),1704.9,4,OpenFlights routes + OurAirports airports
AJU,MCZ,regional,rota regular em base publica (2 registro(s) OpenFlights),215.4,2,OpenFlights routes + OurAirports airports
AJU,REC,regional,rota regular em base publica (4 registro(s) OpenFlights),395.5,4,OpenFlights routes + OurAirports airports
AJU,SDU,hub,rota regular em base publica (2 registro(s) OpenFlights),1475.2,2,OpenFlights routes + OurAirports airports
AJU,SSA,hub,rota regular em base publica (8 registro(s) OpenFlights),253.5,8,OpenFlights routes + OurAirports airports
AJU,VCP,hub,rota regular em base publica (2 registro(s) OpenFlights),1710.7,2,OpenFlights routes + OurAirports airports
AQA,VCP,hub,rota regular em base publica (2 registro(s) OpenFlights),167.9,2,OpenFlights routes + OurAirports airports
ARU,GRU,hub,rota regular em base publica (2 registro(s) OpenFlights),479.9,2,OpenFlights routes + OurAirports airports
ARU,VCP,hub,rota regular em base publica (2 registro(s) OpenFlights),397.4,2,OpenFlights routes + OurAirports airports
ATM,BEL,regional,rota regular em base publica (4 registro(s) OpenFlights),468.6,4,OpenFlights routes + OurAirports airports
ATM,ORX,regional,rota regular em base publica (1 registro(s) OpenFlights),433.2,1,OpenFlights routes + OurAirports airports
ATM,STM,regional,rota regular em base publica (2 registro(s) OpenFlights),296.7,2,OpenFlights routes + OurAirports airports
AUX,BSB,hub,rota regular em base publica (2 registro(s) OpenFlights),961.5,2,OpenFlights routes + OurAirports airports
AUX,MAB,regional,rota regular em base publica (2 registro(s) OpenFlights),229.3,2,OpenFlights routes + OurAirports airports
AUX,PMW,regional,rota regular em base publica (4 registro(s) OpenFlights),340.9,4,OpenFlights routes + OurAirports airports
BAZ,MAO,regional,rota regular em base publica (2 registro(s) OpenFlights),392.4,2,OpenFlights routes + OurAirports airports
BEL,BSB,hub,rota regular em base publica (4 registro(s) OpenFlights),1612.4,4,OpenFlights routes + OurAirports airports
BEL,BVS,regional,rota regular em base publica (1 registro(s) OpenFlights),220.6,1,OpenFlights routes + OurAirports airports
BEL,CKS,regional,rota regular em base publica (2 registro(s) OpenFlights),553.5,2,OpenFlights routes + OurAirports airports
BEL,CNF,hub,rota regular em base publica (2 registro(s) OpenFlights),2088.5,2,OpenFlights routes + OurAirports airports
BEL,FOR,inter-regional,rota regular em base publica (6 registro(s) OpenFlights),1136.2,6,OpenFlights routes + OurAirports airports
BEL,GIG,hub,rota regular em base publica (4 registro(s) OpenFlights),2448.9,4,OpenFlights routes + OurAirports airports
BEL,GRU,hub,rota regular em base publica (4 registro(s) OpenFlights),2461.6,4,OpenFlights routes + OurAirports airports
BEL,IMP,inter-regional,rota regular em base publica (2 registro(s) OpenFlights),475.3,2,OpenFlights routes + OurAirports airports
BEL,MAB,regional,rota regular em base publica (7 registro(s) OpenFlights),449.6,7,OpenFlights routes + OurAirports airports
BEL,MAO,regional,rota regular em base publica (6 registro(s) OpenFlights),1299.1,6,OpenFlights routes + OurAirports airports
BEL,MCP,regional,rota regular em base publica (6 registro(s) OpenFlights),329.5,6,OpenFlights routes + OurAirports airports
BEL,MEU,regional,rota regular em base publica (2 registro(s) OpenFlights),461.9,2,OpenFlights routes + OurAirports airports
BEL,SLZ,inter-regional,rota regular em base publica (5 registro(s) OpenFlights),490.0,5,OpenFlights routes + OurAirports airports
BEL,STM,regional,rota regular em base publica (8 registro(s) OpenFlights),711.5,8,OpenFlights routes + OurAirports airports
BEL,TUR,regional,rota regular em base publica (1 registro(s) OpenFlights),301.2,1,OpenFlights routes + OurAirports airports
BPS,CGH,hub,rota regular em base publica (2 registro(s) OpenFlights),1124.2,2,OpenFlights routes + OurAirports airports
BPS,CNF,hub,rota regular em base publica (7 registro(s) OpenFlights),627.1,7,OpenFlights routes + OurAirports airports
BPS,GRU,hub,rota regular em base publica (4 registro(s) OpenFlights),1095.5,4,OpenFlights routes + OurAirports airports
BPS,SDU,hub,rota regular em base publica (2 registro(s) OpenFlights),836.8,2,OpenFlights routes + OurAirports airports
BPS,SSA,hub,rota regular em base publica (4 registro(s) OpenFlights),400.9,4,OpenFlights routes + OurAirports airports
