iata,cidade,regiao,uf,nome,icao,lat,lon,tipo,servico_regular,fonte
BAU,Bauru,Brasil,,Bauru Airport,,-22.3449993134,-49.0537986755,unknown,,OpenFlights
CPQ,Campinas,Brasil,,Amarais Airport,,-22.85919952392578,-47.10820007324219,unknown,,OpenFlights
QCJ,Botucatu,Brasil,,Botucatu - Tancredo de Almeida Neves Airport,,-22.939501,-48.467999,unknown,,OpenFlights
QHP,Taubaté,Brasil,,Base de Aviação de Taubaté Airport,,-23.04010009765625,-45.51599884033203,unknown,,OpenFlights
QNV,Nova Iguacu,Brasil,,Aeroclube Airport,,-22.74530029296875,-43.46030044555664,unknown,,OpenFlights
QPS,Piracununga,Brasil,,Campo Fontenelle Airport,,-21.984600067138672,-47.334800720214844,unknown,,OpenFlights
STZ,Santa Terezinha,Brasil,,Santa Terezinha Airport,,-10.4647216796875,-50.518611907958984,unknown,,OpenFlights
BSB,Brasília,Centro-Oeste,DF,Presidente Juscelino Kubitschek International Airport,SBBR,-15.869167,-47.920834,large_airport,yes,OurAirports
APS,Anápolis,Centro-Oeste,GO,Anápolis Airport,SWNS,-16.363575,-48.9288,small_airport,no,OurAirports
ARS,Aragarças,Centro-Oeste,GO,Aragarças Airport,SJVO,-15.8994,-52.2411,small_airport,no,OurAirports
CLV,Caldas Novas,Centro-Oeste,GO,Nelson Ribeiro Guimarães Airport,SBCN,-17.725096,-48.606324,small_airport,yes,OurAirports
GYN,Goiânia,Centro-Oeste,GO,Santa Genoveva International Airport,SBGO,-16.632,-49.220699,large_airport,yes,OurAirports
ITR,Itumbiara,Centro-Oeste,GO,Francisco Vilela do Amaral Airport,SBIT,-18.4447,-49.213402,small_airport,no,OurAirports
JTI,Jataí,Centro-Oeste,GO,Jataí Airport,SWJW,-17.8299007416,-51.7729988098,small_airport,no,OurAirports
MQH,Minaçu,Centro-Oeste,GO,Minaçu Airport,SWIQ,-13.5491,-48.195301,medium_airport,no,OurAirports
NQL,Niquelândia,Centro-Oeste,GO,Niquelândia Airport,SWNQ,-14.434869,-48.491615,small_airport,no,OurAirports
RVD,Rio Verde,Centro-Oeste,GO,General Leite de Castro Airport,SWLC,-17.834723,-50.956112,small_airport,no,OurAirports
SQM,São Miguel do Araguaia,Centro-Oeste,GO,São Miguel do Araguaia Airport,SWUA,-13.3313,-50.197601,small_airport,no,OurAirports
TLZ,Catalão,Centro-Oeste,GO,Catalão Airport,SWKT,-18.216801,-47.8997,small_airport,no,OurAirports
BYO,Bonito,Centro-Oeste,MS,Bonito Airport,SBDB,-21.2473,-56.452399,small_airport,yes,OurAirports
CGR,Campo Grande,Centro-Oeste,MS,Campo Grande Airport,SBCG,-20.469998,-54.673988,medium_airport,yes,OurAirports
CMG,Corumbá,Centro-Oeste,MS,Corumbá International Airport,SBCR,-19.01193,-57.672772,medium_airport,yes,OurAirports
