aeroporto,grau,ordem_ego,tamanho_ego,densidade_ego
STZ,1,2,1,1.0
BSB,39,40,39,0.05
CLV,2,3,2,0.667
GYN,11,12,11,0.167
MQH,2,3,2,0.667
RVD,1,2,1,1.0
BYO,1,2,1,1.0
CGR,10,11,10,0.182
CMG,1,2,1,1.0
DOU,3,4,3,0.5
AFL,1,2,1,1.0
CGB,18,19,18,0.105
OPS,2,3,2,0.667
ROO,1,2,1,1.0
SXO,2,3,2,0.667
MCZ,7,8,7,0.25
BPS,6,7,6,0.286
BRA,2,3,2,0.667
GNM,2,3,2,0.667
IOS,7,8,7,0.25
LAZ,2,3,2,0.667
LEC,1,2,1,1.0
PAV,1,2,1,1.0
SSA,25,26,25,0.077
VDC,4,5,4,0.4
FOR,15,16,15,0.125
JDO,5,6,5,0.333
BSS,1,2,1,1.0
IMP,6,7,6,0.286
SLZ,8,9,8,0.222
CPV,3,4,3,0.5
JPA,6,7,6,0.286
FEN,2,3,2,0.667
PNZ,5,6,5,0.333
REC,14,15,14,0.133
PHB,2,3,2,0.667
THE,7,8,7,0.25
NAT,9,10,9,0.2
AJU,8,9,8,0.222
CZS,1,2,1,1.0
RBR,3,4,3,0.5
BAZ,1,2,1,1.0
CIZ,1,2,1,1.0
ERN,1,2,1,1.0
IRZ,1,2,1,1.0
MAO,15,16,15,0.125
OLC,1,2,1,1.0
PIN,1,2,1,1.0
SJL,1,2,1,1.0
TBT,1,2,1,1.0
TFF,5,6,5,0.333
MCP,1,2,1,1.0
ATM,3,4,3,0.5
BEL,16,17,16,0.118
BVS,1,2,1,1.0
CDJ,2,3,2,0.667
CKS,4,5,4,0.4
CMP,1,2,1,1.0
ITB,1,2,1,1.0
MAB,8,9,8,0.222
MEU,3,4,3,0.5
MTE,1,2,1,1.0
OIA,3,4,3,0.5
ORX,3,4,3,0.5
RDC,2,3,2,0.667
STM,8,9,8,0.222
SXX,1,2,1,1.0
TMT,1,2,1,1.0
TUR,2,3,2,0.667
BVH,1,2,1,1.0
JPR,1,2,1,1.0
OAL,1,2,1,1.0
PVH,4,5,4,0.4
BVB,1,2,1,1.0
AUX,3,4,3,0.5
GRP,2,3,2,0.667
PMW,3,4,3,0.5
VIX,9,10,9,0.2
AAX,2,3,2,0.667
CNF,31,32,31,0.062
GVR,1,2,1,1.0
IPN,3,4,3,0.5
IZA,2,3,2,0.667
MOC,2,3,2,0.667
PLU,12,13,12,0.154
POJ,2,3,2,0.667
UBA,4,5,4,0.4
UDI,9,10,9,0.2
CAW,3,4,3,0.5
CFB,3,4,3,0.5
GIG,25,26,25,0.077
MEA,3,4,3,0.5
SDU,18,19,18,0.105
AQA,1,2,1,1.0
ARU,2,3,2,0.667
CGH,26,27,26,0.074
GRU,41,42,41,0.048
JTC,3,4,3,0.5
MII,2,3,2,0.667
PPB,2,3,2,0.667
RAO,12,13,12,0.154
SJK,2,3,2,0.667
SJP,6,7,6,0.286
VCP,50,51,50,0.039
CAC,3,4,3,0.5
CWB,20,21,20,0.095
GPB,1,2,1,1.0
IGU,6,7,6,0.286
LDB,7,8,7,0.25
MGF,8,9,8,0.222
CXJ,3,4,3,0.5
ERM,3,4,3,0.5
GEL,3,4,3,0.5
PET,2,3,2,0.667
PFB,4,5,4,0.4
POA,22,23,22,0.087
RIA,3,4,3,0.5
RIG,2,3,2,0.667
SRA,2,3,2,0.667
URG,1,2,1,1.0
CCM,2,3,2,0.667
CFC,2,3,2,0.667
FLN,10,11,10,0.182
JCB,3,4,3,0.5
JOI,4,5,4,0.4
NVT,5,6,5,0.333
XAP,4,5,4,0.4
