aeroporto,grau
STZ,1
BSB,39
CLV,2
GYN,11
MQH,2
RVD,1
BYO,1
CGR,10
CMG,1
DOU,3
AFL,1
CGB,18
OPS,2
ROO,1
SXO,2
MCZ,7
BPS,6
BRA,2
GNM,2
IOS,7
LAZ,2
LEC,1
PAV,1
SSA,25
VDC,4
FOR,15
JDO,5
BSS,1
IMP,6
SLZ,8
CPV,3
JPA,6
FEN,2
PNZ,5
REC,14
PHB,2
THE,7
NAT,9
AJU,8
CZS,1
RBR,3
BAZ,1
CIZ,1
ERN,1
IRZ,1
MAO,15
OLC,1
PIN,1
SJL,1
TBT,1
TFF,5
MCP,1
ATM,3
BEL,16
BVS,1
CDJ,2
CKS,4
CMP,1
ITB,1
MAB,8
MEU,3
MTE,1
OIA,3
ORX,3
RDC,2
STM,8
SXX,1
TMT,1
TUR,2
BVH,1
JPR,1
OAL,1
PVH,4
BVB,1
AUX,3
GRP,2
PMW,3
VIX,9
AAX,2
CNF,31
GVR,1
IPN,3
IZA,2
MOC,2
PLU,12
POJ,2
UBA,4
UDI,9
CAW,3
CFB,3
GIG,25
MEA,3
SDU,18
AQA,1
ARU,2
CGH,26
GRU,41
JTC,3
MII,2
PPB,2
RAO,12
SJK,2
SJP,6
VCP,50
CAC,3
CWB,20
GPB,1
IGU,6
LDB,7
MGF,8
CXJ,3
ERM,3
GEL,3
PET,2
PFB,4
POA,22
RIA,3
RIG,2
SRA,2
URG,1
CCM,2
CFC,2
FLN,10
JCB,3
JOI,4
NVT,5
XAP,4
